Ticker,1w,1m,3m,6m,1y,Price,Exchange
CIO,"Ticker
CIO    1.713907
dtype: float64","Ticker
CIO    0.586702
dtype: float64","Ticker
CIO   -0.771703
dtype: float64","Ticker
CIO   -14.134669
dtype: float64",,"Ticker
CIO    5.26
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
A,"Ticker
A   -4.847177
dtype: float64","Ticker
A   -13.140346
dtype: float64","Ticker
A   -2.72734
dtype: float64","Ticker
A   -7.809025
dtype: float64",,"Ticker
A    127.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CION,"Ticker
CION   -0.722501
dtype: float64","Ticker
CION    8.005825
dtype: float64","Ticker
CION    5.728128
dtype: float64","Ticker
CION    0.487541
dtype: float64",,"Ticker
CION    12.54
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CIVI,"Ticker
CIVI   -22.944095
dtype: float64","Ticker
CIVI   -24.340651
dtype: float64","Ticker
CIVI   -25.815284
dtype: float64","Ticker
CIVI   -37.158735
dtype: float64",,"Ticker
CIVI    38.34
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CL,"Ticker
CL    2.560806
dtype: float64","Ticker
CL    0.332543
dtype: float64","Ticker
CL   -4.558716
dtype: float64","Ticker
CL   -13.856989
dtype: float64",,"Ticker
CL    91.169998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLB,"Ticker
CLB   -10.723591
dtype: float64","Ticker
CLB   -20.620214
dtype: float64","Ticker
CLB   -29.569894
dtype: float64","Ticker
CLB   -20.007187
dtype: float64",,"Ticker
CLB    14.63
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLBR,"Ticker
CLBR   -1.053611
dtype: float64","Ticker
CLBR   -2.414425
dtype: float64","Ticker
CLBR    0.251177
dtype: float64","Ticker
CLBR    4.006516
dtype: float64",,"Ticker
CLBR    10.63
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLCO,"Ticker
CLCO   -11.953088
dtype: float64","Ticker
CLCO   -24.13525
dtype: float64","Ticker
CLCO   -26.367407
dtype: float64","Ticker
CLCO   -44.052736
dtype: float64",,"Ticker
CLCO    6.01
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLDT,"Ticker
CLDT   -1.812323
dtype: float64","Ticker
CLDT   -7.756338
dtype: float64","Ticker
CLDT   -11.60261
dtype: float64","Ticker
CLDT   -4.541894
dtype: float64",,"Ticker
CLDT    8.08
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLDT,"Ticker
CLDT   -1.812323
dtype: float64","Ticker
CLDT   -7.756338
dtype: float64","Ticker
CLDT   -11.60261
dtype: float64","Ticker
CLDT   -4.541894
dtype: float64",,"Ticker
CLDT    8.08
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
A,"Ticker
A   -4.847177
dtype: float64","Ticker
A   -13.140346
dtype: float64","Ticker
A   -2.72734
dtype: float64","Ticker
A   -7.809025
dtype: float64",,"Ticker
A    127.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLF,"Ticker
CLF   -8.641276
dtype: float64","Ticker
CLF    6.037608
dtype: float64","Ticker
CLF   -12.734186
dtype: float64","Ticker
CLF   -21.800489
dtype: float64",,"Ticker
CLF    10.84
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLH,"Ticker
CLH   -1.89695
dtype: float64","Ticker
CLH   -10.064596
dtype: float64","Ticker
CLH   -16.265938
dtype: float64","Ticker
CLH   -13.043596
dtype: float64",,"Ticker
CLH    213.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLPR,"Ticker
CLPR   -0.844478
dtype: float64","Ticker
CLPR    17.318896
dtype: float64","Ticker
CLPR   -7.667107
dtype: float64","Ticker
CLPR   -0.914209
dtype: float64",,"Ticker
CLPR    4.68
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLS,"Ticker
CLS   -13.10363
dtype: float64","Ticker
CLS    15.680234
dtype: float64","Ticker
CLS    22.689707
dtype: float64","Ticker
CLS    111.432643
dtype: float64",,"Ticker
CLS    107.050003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLVT,"Ticker
CLVT   -8.379505
dtype: float64","Ticker
CLVT   -20.920502
dtype: float64","Ticker
CLVT   -17.978919
dtype: float64","Ticker
CLVT   -33.982036
dtype: float64",,"Ticker
CLVT    4.29
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLW,"Ticker
CLW   -5.564804
dtype: float64","Ticker
CLW   -18.602029
dtype: float64","Ticker
CLW   -2.095662
dtype: float64","Ticker
CLW   -21.264994
dtype: float64",,"Ticker
CLW    26.15
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CLX,"Ticker
CLX    0.576495
dtype: float64","Ticker
CLX   -3.282478
dtype: float64","Ticker
CLX   -8.063078
dtype: float64","Ticker
CLX   -0.129122
dtype: float64",,"Ticker
CLX    156.389999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CM,"Ticker
CM   -1.828439
dtype: float64","Ticker
CM   -5.95634
dtype: float64","Ticker
CM   -7.702509
dtype: float64","Ticker
CM    10.255318
dtype: float64",,"Ticker
CM    60.580002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMA,"Ticker
CMA   -4.300914
dtype: float64","Ticker
CMA   -0.015656
dtype: float64","Ticker
CMA   -9.937946
dtype: float64","Ticker
CMA    12.65436
dtype: float64",,"Ticker
CMA    64.330002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMBT,"Ticker
CMBT   -7.185831
dtype: float64","Ticker
CMBT   -13.245863
dtype: float64","Ticker
CMBT   -20.928249
dtype: float64","Ticker
CMBT   -43.545438
dtype: float64",,"Ticker
CMBT    8.91
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMC,"Ticker
CMC   -3.217758
dtype: float64","Ticker
CMC   -1.641753
dtype: float64","Ticker
CMC   -19.889114
dtype: float64","Ticker
CMC   -9.114456
dtype: float64",,"Ticker
CMC    48.439999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMCM,"Ticker
CMCM   -10.321865
dtype: float64","Ticker
CMCM    23.92638
dtype: float64","Ticker
CMCM    14.204945
dtype: float64","Ticker
CMCM    42.253521
dtype: float64",,"Ticker
CMCM    5.29
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMG,"Ticker
CMG    1.117709
dtype: float64","Ticker
CMG   -8.18234
dtype: float64","Ticker
CMG   -12.968095
dtype: float64","Ticker
CMG   -2.715673
dtype: float64",,"Ticker
CMG    53.970001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMI,"Ticker
CMI   -3.36915
dtype: float64","Ticker
CMI    4.361287
dtype: float64","Ticker
CMI   -1.584058
dtype: float64","Ticker
CMI    18.71078
dtype: float64",,"Ticker
CMI    368.179993
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMP,"Ticker
CMP   -8.877725
dtype: float64","Ticker
CMP   -10.575344
dtype: float64","Ticker
CMP   -26.816144
dtype: float64","Ticker
CMP    18.518516
dtype: float64",,"Ticker
CMP    10.44
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMRE,"Ticker
CMRE   -1.716465
dtype: float64","Ticker
CMRE   -12.059158
dtype: float64","Ticker
CMRE   -26.503448
dtype: float64","Ticker
CMRE   -25.386099
dtype: float64",,"Ticker
CMRE    10.18
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMRE,"Ticker
CMRE   -1.716465
dtype: float64","Ticker
CMRE   -12.059158
dtype: float64","Ticker
CMRE   -26.503448
dtype: float64","Ticker
CMRE   -25.386099
dtype: float64",,"Ticker
CMRE    10.18
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
B,"Ticker
B    0.359432
dtype: float64","Ticker
B    0.707211
dtype: float64","Ticker
B    1.87437
dtype: float64","Ticker
B    10.963918
dtype: float64",,"Ticker
B    47.48
Name: 2025-01-24 00:00:00, dtype: float64",NYSE
CMRE,"Ticker
CMRE   -1.716465
dtype: float64","Ticker
CMRE   -12.059158
dtype: float64","Ticker
CMRE   -26.503448
dtype: float64","Ticker
CMRE   -25.386099
dtype: float64",,"Ticker
CMRE    10.18
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
C,"Ticker
C   -2.874291
dtype: float64","Ticker
C   -1.551895
dtype: float64","Ticker
C    13.52964
dtype: float64","Ticker
C    28.166585
dtype: float64",,"Ticker
C    79.949997
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMRE,"Ticker
CMRE   -1.716465
dtype: float64","Ticker
CMRE   -12.059158
dtype: float64","Ticker
CMRE   -26.503448
dtype: float64","Ticker
CMRE   -25.386099
dtype: float64",,"Ticker
CMRE    10.18
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
D,"Ticker
D    0.466297
dtype: float64","Ticker
D    2.449741
dtype: float64","Ticker
D   -2.759368
dtype: float64","Ticker
D    0.704058
dtype: float64",,"Ticker
D    56.619999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMS,"Ticker
CMS    2.943393
dtype: float64","Ticker
CMS    10.082085
dtype: float64","Ticker
CMS    4.889637
dtype: float64","Ticker
CMS    8.06308
dtype: float64",,"Ticker
CMS    73.050003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMS,"Ticker
CMS    2.943393
dtype: float64","Ticker
CMS    10.082085
dtype: float64","Ticker
CMS    4.889637
dtype: float64","Ticker
CMS    8.06308
dtype: float64",,"Ticker
CMS    73.050003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
B,"Ticker
B    0.359432
dtype: float64","Ticker
B    0.707211
dtype: float64","Ticker
B    1.87437
dtype: float64","Ticker
B    10.963918
dtype: float64",,"Ticker
B    47.48
Name: 2025-01-24 00:00:00, dtype: float64",NYSE
CMS,"Ticker
CMS    2.943393
dtype: float64","Ticker
CMS    10.082085
dtype: float64","Ticker
CMS    4.889637
dtype: float64","Ticker
CMS    8.06308
dtype: float64",,"Ticker
CMS    73.050003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
C,"Ticker
C   -2.874291
dtype: float64","Ticker
C   -1.551895
dtype: float64","Ticker
C    13.52964
dtype: float64","Ticker
C    28.166585
dtype: float64",,"Ticker
C    79.949997
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMSA,"Ticker
CMSA   -0.473523
dtype: float64","Ticker
CMSA    0.231216
dtype: float64","Ticker
CMSA   -6.849315
dtype: float64","Ticker
CMSA   -7.655439
dtype: float64",,"Ticker
CMSA    22.860001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMSC,"Ticker
CMSC    0.370262
dtype: float64","Ticker
CMSC   -1.163932
dtype: float64","Ticker
CMSC   -4.808211
dtype: float64","Ticker
CMSC   -5.586068
dtype: float64",,"Ticker
CMSC    23.389999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMSD,"Ticker
CMSD    0.556502
dtype: float64","Ticker
CMSD   -2.435264
dtype: float64","Ticker
CMSD   -3.61026
dtype: float64","Ticker
CMSD   -4.487596
dtype: float64",,"Ticker
CMSD    23.559999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMTG,"Ticker
CMTG   -19.296257
dtype: float64","Ticker
CMTG   -31.370658
dtype: float64","Ticker
CMTG   -64.360902
dtype: float64","Ticker
CMTG   -70.680413
dtype: float64",,"Ticker
CMTG    2.33
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CMU,"Ticker
CMU    1.217227
dtype: float64","Ticker
CMU    2.854422
dtype: float64","Ticker
CMU    0.933706
dtype: float64","Ticker
CMU    1.217227
dtype: float64",,"Ticker
CMU    3.6
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNA,"Ticker
CNA   -1.788123
dtype: float64","Ticker
CNA   -2.544356
dtype: float64","Ticker
CNA   -2.019519
dtype: float64","Ticker
CNA   -5.080212
dtype: float64",,"Ticker
CNA    48.970001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNC,"Ticker
CNC   -0.327925
dtype: float64","Ticker
CNC   -10.934608
dtype: float64","Ticker
CNC   -4.886082
dtype: float64","Ticker
CNC   -26.031082
dtype: float64",,"Ticker
CNC    58.16
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNF,"Ticker
CNF   -2.352939
dtype: float64","Ticker
CNF   -7.262569
dtype: float64","Ticker
CNF    14.482761
dtype: float64","Ticker
CNF    3.426792
dtype: float64",,"Ticker
CNF    1.09
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNH,"Ticker
CNH   -3.522014
dtype: float64","Ticker
CNH   -2.689674
dtype: float64","Ticker
CNH    4.438998
dtype: float64","Ticker
CNH    25.408762
dtype: float64",,"Ticker
CNH    12.88
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNI,"Ticker
CNI   -2.775626
dtype: float64","Ticker
CNI   -4.990075
dtype: float64","Ticker
CNI   -9.219791
dtype: float64","Ticker
CNI   -14.778602
dtype: float64",,"Ticker
CNI    101.360001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNK,"Ticker
CNK   -7.839162
dtype: float64","Ticker
CNK   -10.777406
dtype: float64","Ticker
CNK   -21.288088
dtype: float64","Ticker
CNK   -8.211527
dtype: float64",,"Ticker
CNK    25.610001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNM,"Ticker
CNM   -2.63158
dtype: float64","Ticker
CNM   -9.734775
dtype: float64","Ticker
CNM    11.231618
dtype: float64","Ticker
CNM   -2.848242
dtype: float64",,"Ticker
CNM    51.009998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNMD,"Ticker
CNMD   -2.93325
dtype: float64","Ticker
CNMD   -15.300651
dtype: float64","Ticker
CNMD   -19.691295
dtype: float64","Ticker
CNMD   -17.014707
dtype: float64",,"Ticker
CNMD    59.169998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNNE,"Ticker
CNNE    1.300483
dtype: float64","Ticker
CNNE    1.665807
dtype: float64","Ticker
CNNE   -6.918238
dtype: float64","Ticker
CNNE    0.186161
dtype: float64",,"Ticker
CNNE    20.040001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNO,"Ticker
CNO    1.57506
dtype: float64","Ticker
CNO    3.954327
dtype: float64","Ticker
CNO    3.511116
dtype: float64","Ticker
CNO    21.918081
dtype: float64",,"Ticker
CNO    41.689999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNO,"Ticker
CNO    1.57506
dtype: float64","Ticker
CNO    3.954327
dtype: float64","Ticker
CNO    3.511116
dtype: float64","Ticker
CNO    21.918081
dtype: float64",,"Ticker
CNO    41.689999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
A,"Ticker
A   -4.847177
dtype: float64","Ticker
A   -13.140346
dtype: float64","Ticker
A   -2.72734
dtype: float64","Ticker
A   -7.809025
dtype: float64",,"Ticker
A    127.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNP,"Ticker
CNP    0.04897
dtype: float64","Ticker
CNP    4.790237
dtype: float64","Ticker
CNP    6.261706
dtype: float64","Ticker
CNP    25.859312
dtype: float64",,"Ticker
CNP    34.380001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNQ,"Ticker
CNQ   -6.474978
dtype: float64","Ticker
CNQ   -7.460094
dtype: float64","Ticker
CNQ   -17.598143
dtype: float64","Ticker
CNQ   -23.072757
dtype: float64",,"Ticker
CNQ    28.27
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNR,"Ticker
CNR   -6.204162
dtype: float64","Ticker
CNR   -20.404877
dtype: float64","Ticker
CNR   -44.043248
dtype: float64","Ticker
CNR   -21.762059
dtype: float64",,"Ticker
CNR    74.25
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNS,"Ticker
CNS    0.474389
dtype: float64","Ticker
CNS   -3.004691
dtype: float64","Ticker
CNS   -16.223951
dtype: float64","Ticker
CNS   -0.96183
dtype: float64",,"Ticker
CNS    87.400002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CNX,"Ticker
CNX   -2.04744
dtype: float64","Ticker
CNX    4.350414
dtype: float64","Ticker
CNX   -28.319961
dtype: float64","Ticker
CNX    6.056935
dtype: float64",,"Ticker
CNX    28.9
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CODI,"Ticker
CODI   -0.541226
dtype: float64","Ticker
CODI   -2.114994
dtype: float64","Ticker
CODI   -10.730107
dtype: float64","Ticker
CODI   -5.031162
dtype: float64",,"Ticker
CODI    21.889999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CODI,"Ticker
CODI   -0.541226
dtype: float64","Ticker
CODI   -2.114994
dtype: float64","Ticker
CODI   -10.730107
dtype: float64","Ticker
CODI   -5.031162
dtype: float64",,"Ticker
CODI    21.889999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
A,"Ticker
A   -4.847177
dtype: float64","Ticker
A   -13.140346
dtype: float64","Ticker
A   -2.72734
dtype: float64","Ticker
A   -7.809025
dtype: float64",,"Ticker
A    127.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CODI,"Ticker
CODI   -0.541226
dtype: float64","Ticker
CODI   -2.114994
dtype: float64","Ticker
CODI   -10.730107
dtype: float64","Ticker
CODI   -5.031162
dtype: float64",,"Ticker
CODI    21.889999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
B,"Ticker
B    0.359432
dtype: float64","Ticker
B    0.707211
dtype: float64","Ticker
B    1.87437
dtype: float64","Ticker
B    10.963918
dtype: float64",,"Ticker
B    47.48
Name: 2025-01-24 00:00:00, dtype: float64",NYSE
CODI,"Ticker
CODI   -0.541226
dtype: float64","Ticker
CODI   -2.114994
dtype: float64","Ticker
CODI   -10.730107
dtype: float64","Ticker
CODI   -5.031162
dtype: float64",,"Ticker
CODI    21.889999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
C,"Ticker
C   -2.874291
dtype: float64","Ticker
C   -1.551895
dtype: float64","Ticker
C    13.52964
dtype: float64","Ticker
C    28.166585
dtype: float64",,"Ticker
C    79.949997
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
J,"Ticker
J   -2.192046
dtype: float64","Ticker
J   -7.539064
dtype: float64","Ticker
J   -7.532334
dtype: float64","Ticker
J    1.58052
dtype: float64",,"Ticker
J    128.110001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
K,"Ticker
K    0.202004
dtype: float64","Ticker
K    1.014135
dtype: float64","Ticker
K    1.939995
dtype: float64","Ticker
K    2.428349
dtype: float64",,"Ticker
K    82.900002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
L,"Ticker
L    3.080441
dtype: float64","Ticker
L   -0.581035
dtype: float64","Ticker
L   -0.159491
dtype: float64","Ticker
L    6.290638
dtype: float64",,"Ticker
L    86.669998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COF,"Ticker
COF   -3.427094
dtype: float64","Ticker
COF   -2.500245
dtype: float64","Ticker
COF    5.824535
dtype: float64","Ticker
COF    39.037058
dtype: float64",,"Ticker
COF    200.550003
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COHR,"Ticker
COHR   -10.479508
dtype: float64","Ticker
COHR   -8.372428
dtype: float64","Ticker
COHR   -26.491024
dtype: float64","Ticker
COHR   -4.104242
dtype: float64",,"Ticker
COHR    75.190002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COLD,"Ticker
COLD    4.585053
dtype: float64","Ticker
COLD    3.212668
dtype: float64","Ticker
COLD   -2.200942
dtype: float64","Ticker
COLD   -22.677967
dtype: float64",,"Ticker
COLD    22.93
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COMP,"Ticker
COMP   -5.344825
dtype: float64","Ticker
COMP    26.439428
dtype: float64","Ticker
COMP    33.058651
dtype: float64","Ticker
COMP    67.480171
dtype: float64",,"Ticker
COMP    8.99
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CON,"Ticker
CON   -2.194493
dtype: float64","Ticker
CON   -3.358845
dtype: float64","Ticker
CON    4.090979
dtype: float64","Ticker
CON   -2.418432
dtype: float64",,"Ticker
CON    22.58
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COOK,"Ticker
COOK   -0.000003
dtype: float64","Ticker
COOK   -8.862435
dtype: float64","Ticker
COOK   -24.368828
dtype: float64","Ticker
COOK   -38.755557
dtype: float64",,"Ticker
COOK    2.32
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COP,"Ticker
COP   -2.290408
dtype: float64","Ticker
COP   -4.246964
dtype: float64","Ticker
COP   -11.250947
dtype: float64","Ticker
COP   -13.260618
dtype: float64",,"Ticker
COP    99.150002
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COR,"Ticker
COR    3.134283
dtype: float64","Ticker
COR   -1.662035
dtype: float64","Ticker
COR    2.484554
dtype: float64","Ticker
COR    6.733927
dtype: float64",,"Ticker
COR    253.539993
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COTY,"Ticker
COTY    1.716989
dtype: float64","Ticker
COTY   -22.717052
dtype: float64","Ticker
COTY   -22.050819
dtype: float64","Ticker
COTY   -41.103875
dtype: float64",,"Ticker
COTY    5.69
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
COUR,"Ticker
COUR   -2.080779
dtype: float64","Ticker
COUR   -16.75338
dtype: float64","Ticker
COUR    9.140519
dtype: float64","Ticker
COUR   -3.459369
dtype: float64",,"Ticker
COUR    7.92
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CP,"Ticker
CP   -0.735424
dtype: float64","Ticker
CP   -2.756134
dtype: float64","Ticker
CP    1.406479
dtype: float64","Ticker
CP   -6.30398
dtype: float64",,"Ticker
CP    77.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPA,"Ticker
CPA   -3.959273
dtype: float64","Ticker
CPA    0.323393
dtype: float64","Ticker
CPA   -0.399547
dtype: float64","Ticker
CPA    1.964793
dtype: float64",,"Ticker
CPA    92.879997
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPAC,"Ticker
CPAC    0.230017
dtype: float64","Ticker
CPAC    1.870255
dtype: float64","Ticker
CPAC    0.40323
dtype: float64","Ticker
CPAC    4.371261
dtype: float64",,"Ticker
CPAC    5.84
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPAY,"Ticker
CPAY   -0.696615
dtype: float64","Ticker
CPAY   -3.177544
dtype: float64","Ticker
CPAY   -2.948448
dtype: float64","Ticker
CPAY    22.265681
dtype: float64",,"Ticker
CPAY    367.049988
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPF,"Ticker
CPF    0.19599
dtype: float64","Ticker
CPF    1.732414
dtype: float64","Ticker
CPF   -9.628781
dtype: float64","Ticker
CPF    4.900424
dtype: float64",,"Ticker
CPF    29.040001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPK,"Ticker
CPK    2.055126
dtype: float64","Ticker
CPK    3.174906
dtype: float64","Ticker
CPK   -4.041527
dtype: float64","Ticker
CPK    8.144503
dtype: float64",,"Ticker
CPK    126.93
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPNG,"Ticker
CPNG   -4.067839
dtype: float64","Ticker
CPNG    5.156138
dtype: float64","Ticker
CPNG   -1.254771
dtype: float64","Ticker
CPNG    6.080585
dtype: float64",,"Ticker
CPNG    23.700001
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPRI,"Ticker
CPRI   -1.384451
dtype: float64","Ticker
CPRI   -15.30119
dtype: float64","Ticker
CPRI    5.022681
dtype: float64","Ticker
CPRI   -39.448856
dtype: float64",,"Ticker
CPRI    21.98
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPS,"Ticker
CPS    2.299622
dtype: float64","Ticker
CPS   -5.545248
dtype: float64","Ticker
CPS    6.113942
dtype: float64","Ticker
CPS   -5.758945
dtype: float64",,"Ticker
CPS    15.14
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CPT,"Ticker
CPT    2.435837
dtype: float64","Ticker
CPT    9.265905
dtype: float64","Ticker
CPT   -0.113879
dtype: float64","Ticker
CPT   -0.281515
dtype: float64",,"Ticker
CPT    124.059998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CQP,"Ticker
CQP    7.048532
dtype: float64","Ticker
CQP    9.34964
dtype: float64","Ticker
CQP    22.412527
dtype: float64","Ticker
CQP    38.296696
dtype: float64",,"Ticker
CQP    67.709999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CR,"Ticker
CR   -4.597137
dtype: float64","Ticker
CR   -3.258187
dtype: float64","Ticker
CR   -11.889846
dtype: float64","Ticker
CR    5.296755
dtype: float64",,"Ticker
CR    162.990005
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CRBD,"Ticker
CRBD    0.066323
dtype: float64","Ticker
CRBD    0.492872
dtype: float64",,,,"Ticker
CRBD    24.959999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CRBG,"Ticker
CRBG    1.183072
dtype: float64","Ticker
CRBG    1.101982
dtype: float64","Ticker
CRBG    6.142194
dtype: float64","Ticker
CRBG    16.995129
dtype: float64",,"Ticker
CRBG    34.68
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
CRC,"Ticker
CRC   -7.139895
dtype: float64","Ticker
CRC   -12.207861
dtype: float64","Ticker
CRC   -24.116918
dtype: float64","Ticker
CRC   -14.11419
dtype: float64",,"Ticker
CRC    44.619999
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
A,"Ticker
A   -4.847177
dtype: float64","Ticker
A   -13.140346
dtype: float64","Ticker
A   -2.72734
dtype: float64","Ticker
A   -7.809025
dtype: float64",,"Ticker
A    127.919998
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
B,"Ticker
B    0.359432
dtype: float64","Ticker
B    0.707211
dtype: float64","Ticker
B    1.87437
dtype: float64","Ticker
B    10.963918
dtype: float64",,"Ticker
B    47.48
Name: 2025-01-24 00:00:00, dtype: float64",NYSE
CRGY,"Ticker
CRGY   -12.553433
dtype: float64","Ticker
CRGY   -17.455936
dtype: float64","Ticker
CRGY   -14.213199
dtype: float64","Ticker
CRGY    13.754755
dtype: float64",,"Ticker
CRGY    12.62
Name: 2025-02-28 00:00:00, dtype: float64",NYSE
